48,90
48,100
48,50
48,60
48,30
48,40
48,20
48,30
48,15
48,25
48,12
48,22
60,90
60,100
29,90
29,100
87,90
87,100
6,90
6,100
6,50
6,60
6,30
6,40
6,20
6,30
6,15
6,25
6,12
6,22
26,90
26,100
14,90
14,100
75,90
75,100
75,50
75,60
75,30
75,40
75,20
75,30
75,15
75,25
75,12
75,22
74,90
74,100
23,90
23,100
65,90
65,100
66,90
65,90
65,100
92,90
92,100
92,50
92,60
92,30
92,40
92,20
92,30
92,15
92,25
43,90
43,100
43,50
43,60
33,90
33,100
90,90
90,100
76,90
76,100
38,90
38,100
38,50
38,60
27,90
27,100
66,90
66,100
36,90
36,100
15,90
15,100
48,90
48,100
48,90
48,100
48,50
48,60
55,90
55,100
55,50
55,60
16,90
16,100
32,90
32,100
7,90
7,100
7,50
7,60
16,90
16,100
16,50
16,60
16,30
16,40
45,90
45,100
22,90
22,100
23,90
23,100
23,50
23,60
23,30
23,40
62,90
62,100
53,90
53,100
53,50
53,60
14,90
14,100
14,50
14,60
94,90
94,100
62,90
62,100
62,50
62,60
62,30
62,40
62,20
62,30
62,15
62,25
57,90
57,100
57,50
57,60
68,90
68,100
68,50
68,60
22,90
22,100
28,90
28,100
28,50
28,60
78,90
78,100
68,90
68,100
37,90
37,100
37,50
37,60
37,30
37,40
37,20
37,30
39,90
39,100
39,50
39,60
39,30
39,40
79,90
79,100
62,90
62,100
3,90
3,100
3,50
3,60
65,90
65,100
65,50
65,60
67,90
67,100
67,50
67,60
12,90
12,100
12,50
12,60
49,90
49,100
36,90
36,100
53,90
53,100
53,50
53,60
53,30
53,40
53,20
53,30
53,15
53,25
53,12
53,22
11,90
11,100
11,50
11,60
11,30
11,40
11,20
11,30
11,15
11,25
11,12
11,22
11,11
11,21
11,10
11,20
11,10
11,20
11,10
11,20
57,90
57,100
45,90
45,100
45,50
45,60
30,90
30,100
30,90
30,100
89,90
89,100
89,50
89,60
89,30
89,40
75,90
75,100
75,50
75,60
53,90
53,100
53,50
53,60
34,90
34,100
75,90
75,100
75,50
75,60
75,30
75,40
34,90
34,100
34,50
34,60
34,30
34,40
34,20
34,30
59,90
59,100
59,50
59,60
23,90
23,100
23,50
23,60
23,30
23,40
21,90
21,100
34,90
34,100
34,50
34,60
1,90
1,100
3,90
3,100
3,50
3,60
3,30
3,40
75,90
75,100
60,90
60,100
11,90
11,100
11,50
11,60
11,30
11,40
11,20
11,30
11,15
11,25
3,90
3,100
2,90
2,100
2,50
2,60
2,30
2,40
36,90
36,100
36,50
36,60
70,90
70,100
87,90
87,100
87,50
87,60
87,30
87,40
48,90
48,100
48,50
48,60
48,30
48,40
48,20
48,30
48,15
48,25
48,12
48,22
48,11
48,21
48,10
48,20
48,10
48,20
87,90
87,100
87,50
87,60
87,30
87,40
4,90
4,100
4,50
4,60
92,90
92,100
35,90
35,100
35,50
35,60
35,30
35,40
21,90
21,100
45,90
45,100
45,50
45,60
79,90
79,100
76,90
76,100
76,50
76,60
40,90
40,100
81,90
81,100
81,50
81,60
81,30
81,40
81,20
81,30
1,90
1,100
1,50
1,60
94,90
94,100
94,50
94,60
78,90
78,100
72,90
72,100
84,90
84,100
84,50
84,60
84,30
84,40
84,20
84,30
83,90
83,100
20,90
20,100
20,50
20,60
36,90
36,100
36,50
36,60
61,90
61,100
90,90
90,100
54,90
54,100
54,50
54,60
54,30
54,40
36,90
36,100
36,50
36,60
98,90
98,100
75,90
75,100
1,90
1,100
1,50
1,60
1,30
1,40
1,20
1,30
1,15
1,25
1,12
1,22
1,11
1,21
72,90
72,100
46,90
46,100
4,90
4,100
4,50
4,60
73,90
73,100
35,90
35,100
1,90
1,100
7,90
7,100
69,90
69,100
35,90
35,100
35,50
35,60
98,90
98,100
49,90
49,100
91,90
91,100
91,50
91,60
91,30
91,40
10,90
10,100
10,50
10,60
10,30
10,40
95,90
95,100
95,50
95,60
95,30
95,40
95,20
95,30
95,15
95,25
95,12
95,22
56,90
56,100
56,50
56,60
56,30
56,40
74,90
74,100
80,90
80,100
80,50
80,60
4,90
4,100
4,50
4,60
78,90
78,100
80,90
80,100
80,50
80,60
22,90
22,100
22,50
22,60
22,30
22,40
22,90
22,100
2,90
2,100
2,50
2,60
88,90
88,100
88,50
88,60
35,90
35,100
10,90
10,100
10,50
10,60
10,30
10,40
71,90
71,100
71,50
71,60
71,30
71,40
31,90
31,100
46,90
46,100
39,90
39,100
25,90
25,100
25,50
25,60
3,90
3,100
50,90
50,100
50,50
50,60
39,90
39,100
14,90
14,100
62,90
62,100
65,90
65,100
65,50
65,60
65,30
65,40
88,90
88,100
88,50
88,60
88,30
88,40
29,90
29,100
58,90
58,100
58,50
58,60
8,90
8,100
40,90
40,100
77,90
77,100
77,50
77,60
77,30
77,40
